"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 15 22:38:46 AEST 2023","Wed Nov 15 22:38:49 AEST 2023","3122","","sample_appUITests.MoreTests","","sample_appUITests.MoreTests","testDismissModal","testDismissModal",""
"passed","Wed Nov 15 22:37:58 AEST 2023","Wed Nov 15 22:38:00 AEST 2023","1759","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky4","testTextFlaky4",""
"passed","Wed Nov 15 22:37:18 AEST 2023","Wed Nov 15 22:37:20 AEST 2023","1731","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky8","testTextFlaky8",""
"failed","Wed Nov 15 22:38:52 AEST 2023","Wed Nov 15 22:39:47 AEST 2023","55396","","sample_appUITests.CrashingTests","","sample_appUITests.CrashingTests","testButton","testButton",""
"failed","Wed Nov 15 22:38:50 AEST 2023","Wed Nov 15 22:38:55 AEST 2023","4594","","sample_appUITests.StoryboardTests","","sample_appUITests.StoryboardTests","testLabel","testLabel",""
"passed","Wed Nov 15 22:38:04 AEST 2023","Wed Nov 15 22:38:06 AEST 2023","1790","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky2","testTextFlaky2",""
"failed","Wed Nov 15 22:37:36 AEST 2023","Wed Nov 15 22:37:38 AEST 2023","1830","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky7","testTextFlaky7",""
"failed","Wed Nov 15 22:38:28 AEST 2023","Wed Nov 15 22:38:38 AEST 2023","9578","","sample_appUITests.SlowTests","","sample_appUITests.SlowTests","testTextSlow1","testTextSlow1",""
"failed","Wed Nov 15 22:38:27 AEST 2023","Wed Nov 15 22:38:36 AEST 2023","9593","","sample_appUITests.SlowTests","","sample_appUITests.SlowTests","testTextSlow2","testTextSlow2",""
"passed","Wed Nov 15 22:36:10 AEST 2023","Wed Nov 15 22:36:12 AEST 2023","2666","","sample_appUITests.MoreTests","","sample_appUITests.MoreTests","testPresentModal","testPresentModal",""
"failed","Wed Nov 15 22:38:24 AEST 2023","Wed Nov 15 22:38:34 AEST 2023","9573","","sample_appUITests.SlowTests","","sample_appUITests.SlowTests","testTextSlow3","testTextSlow3",""
"passed","Wed Nov 15 22:36:53 AEST 2023","Wed Nov 15 22:36:55 AEST 2023","2804","","sample_appUITests.StoryboardTests","","sample_appUITests.StoryboardTests","testDisabledButton","testDisabledButton",""
"passed","Wed Nov 15 22:36:05 AEST 2023","Wed Nov 15 22:36:07 AEST 2023","2152","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky","testTextFlaky",""
"passed","Wed Nov 15 22:36:47 AEST 2023","Wed Nov 15 22:36:52 AEST 2023","4978","","sample_appUITests.StoryboardTests","","sample_appUITests.StoryboardTests","testButton","testButton",""
"failed","Wed Nov 15 22:38:12 AEST 2023","Wed Nov 15 22:38:14 AEST 2023","1846","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky1","testTextFlaky1",""
"passed","Wed Nov 15 22:37:51 AEST 2023","Wed Nov 15 22:37:52 AEST 2023","1783","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky6","testTextFlaky6",""
"failed","Wed Nov 15 22:37:55 AEST 2023","Wed Nov 15 22:37:57 AEST 2023","1749","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky5","testTextFlaky5",""
"passed","Wed Nov 15 22:36:56 AEST 2023","Wed Nov 15 22:36:59 AEST 2023","3562","","sample_appUITests.ScreenshotTests","","sample_appUITests.ScreenshotTests","testButton","testButton",""
"failed","Wed Nov 15 22:38:42 AEST 2023","Wed Nov 15 22:38:52 AEST 2023","9624","","sample_appUITests.SlowTests","","sample_appUITests.SlowTests","testTextSlow","testTextSlow",""
"passed","Wed Nov 15 22:38:11 AEST 2023","Wed Nov 15 22:38:12 AEST 2023","1901","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky3","testTextFlaky3",""
"failed","Wed Nov 15 22:38:17 AEST 2023","Wed Nov 15 22:38:26 AEST 2023","9663","","sample_appUITests.SlowTests","","sample_appUITests.SlowTests","testTextSlow4","testTextSlow4",""
"failed","Wed Nov 15 22:39:03 AEST 2023","Wed Nov 15 22:39:05 AEST 2023","1745","","sample_appUITests.FailingTests","","sample_appUITests.FailingTests","testAlwaysFailing","testAlwaysFailing",""
